query,original_chunk,hit_score,original_chunk_found,rank,retrieval_time
Conflict of interest transactions for personal relationships,"To avoid a conflict of interest employees must not: 

• Process transactions for themselves or anyone with whom they have a personal relationship, except for certain permitted brokerage transactions.",1,True,1,0.806598424911499
Wells Fargo repossessed property purchase policy,• Purchase real or personal property that Wells Fargo has repossessed or foreclosed or is marketing at its direction.,1,True,1,0.8107225894927979
Borrowing funds from employees or customers conflict of interest,"• Borrow or lend personal funds to employees, customers, or third parties when it creates an actual, potential, or perceived conflict of interest.",1,True,1,0.8115603923797607
Investing in customers or third parties without pre-clearance approval.,"• Invest in customers or third parties of Wells Fargo beyond permitted circumstances and without obtaining pre-clearance approval, when required.",1,True,1,0.8264672756195068
Who is subject to regulatory credit extension provisions?,"The Board, executive officers, and certain other employees expressly identified and notified by our General Counsel, or the Corporate Secretary, are subject to regulatory provisions related to extension of credit from Wells Fargo and its subsidiaries.",1,True,1,0.8665022850036621
Business practices compliance Wells Fargo standards,"Fair and honest business dealings 

Wells Fargo is committed to engaging in fair and honest business practices and being a responsible provider of credit in all our markets.",1,True,1,0.8769111633300781
Fair lending and sales practices expectations for employees.,"Employees and the Board are expected to deal fairly with Wells Fargo’s customers, suppliers, competitors, and employees, and engage in responsible lending and permissible sales practices.",1,True,1,0.887855052947998
Wells Fargo consumer fairness principles guidelines,Wells Fargo’s Treating Consumers Fairly Principles are standards to guide employee interactions with our customers and help ensure that consumer fairness considerations are central to the decisions we make about our products and services.,1,True,1,0.9020111560821533
Unfair dealing practices in the code of conduct.,"Wells Fargo strictly prohibits: 

• Taking unfair advantage of anyone through manipulation, concealment, abuse of privileged information, misrepresentation of material facts, or any other unfair-dealing practice.",0,False,Not in top k,0.8271365165710449
Prohibited discriminatory practices in the code of conduct.,"• Discriminating on the basis of race, ethnicity, age, gender, or other protected characteristics. 

• Engaging in unfair, deceptive, abusive, misleading, or fraudulent practices.",1,True,1,0.8549420833587646
Employee trading restrictions and insider trading policies.,"• Engaging in unfair, deceptive, abusive, misleading, or fraudulent practices. 

Insider trading and other trading restrictions 

Employees must never buy, sell,",1,True,1,0.8153657913208008
Trading securities with material nonpublic information.,"Insider trading and other trading restrictions 

Employees must never buy, sell, or otherwise transact in securities when they have material nonpublic information (MNPI) about the issuer of the securities,",1,True,1,0.8201050758361816
What is Material Nonpublic Information policy.,nor should they ever “tip” others by disclosing MNPI.,0,False,Not in top k,0.8420205116271973
disclosure of material nonpublic information in personal accounts,nor should they ever “tip” others by disclosing MNPI. These restrictions apply to transactions or trades conducted in the employee’s personal accounts or any other account over which the employee has influence or control and continue to apply even after the employee is no longer employed by Wells Fargo.,0,False,Not in top k,0.8244214057922363
What are employee trading policies and restrictions?,"Employees must: 

• Understand and follow any trading policies, firewall, and other restrictions that apply to them and their business.",1,True,1,0.8157837390899658
Reporting MNPI to Global Compliance Control Group,"• Report to the Global Compliance Control Group as soon as possible the receipt of any MNPI about customers or third parties. 

• Report to the Global Compliance Control Group any inadvertent disclosure or receipt of MNPI.",1,True,1,0.8976094722747803
Wells Fargo securities trading restrictions for employees.,"• Report to the Global Compliance Control Group any inadvertent disclosure or receipt of MNPI. 

Employees and the Board are prohibited from engaging in derivative or hedging transactions involving any company securities, including Wells Fargo common stock.",1,True,1,0.8779923915863037
Derivatives hedging prohibited in employee transactions,"This hedging prohibition applies to any type of transaction in securities that limits investment risk through the use of derivatives, such as options, puts, calls, futures contracts, or other similar instruments.",1,True,1,0.8687734603881836
Quarterly black-out periods for company securities employees,"The Board, executive officers, and certain other employees expressly identified and notified by the Personal Account Dealing Team in coordination with the Legal Department are subject to quarterly black-out or freeze periods involving company securities.",1,True,1,0.8192071914672852
Trading plans and U.S. securities law requirements,"Certain transactions that comply with applicable securities laws may be subject to specific exceptions from these requirements, including transactions under a trading plan that complies with U.S. securities law requirements. In addition to complying with U.S.",1,True,1,0.818004846572876
Wells Fargo securities law preapproval requirements,"securities law requirements. In addition to complying with U.S. securities laws, a trading plan must be preapproved by Wells Fargo’s General Counsel or Corporate Secretary.",1,True,1,0.8722598552703857
What is Wells Fargo's policy on bribery and corruption?,"> 13 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

Anti-bribery and anti-corruption 

Wells Fargo does not tolerate bribery or corruption in any form.",1,True,1,0.8543581962585449
bribes prohibited in the workplace,"Such conduct is against the law and the company prohibits it. Further, employees are prohibited from offering, accepting, or utilizing third parties to facilitate bribes.",1,True,1,0.826502799987793
Reporting suspected bribery or corruption policy,"Further, employees are prohibited from offering, accepting, or utilizing third parties to facilitate bribes. 

Employees must: 

• Report suspected bribery or corruption in accordance with the Anti-Bribery and Corruption Policy.",1,True,1,0.805952787399292
antitrust laws and fair competition practices,"• Comply with all pre-clearance and approval requirements related to transfers of anything of value, employment offers, and third parties. 

Competition and antitrust laws 

Free and fair competition benefits Wells Fargo and its customers.",0,False,Not in top k,0.8064589500427246
Compliance with antitrust laws in our operating jurisdictions.,"Competition and antitrust laws 

Free and fair competition benefits Wells Fargo and its customers. Wells Fargo is committed to protecting free and fair competition by complying with applicable antitrust and competition laws in the jurisdictions in which we operate.",0,False,Not in top k,0.8767170906066895
antitrust laws employee behavior restrictions,"To comply with antitrust and competition laws, employees must not engage in anticompetitive behavior including: 

• Agreeing with competitors to price fix, rig bids, allocate customers or territories, or restrict supply.",1,True,1,0.8153634071350098
Anti competitive business practices with competitors,"• Exchanging non-public, sensitive information with competitors outside of approved collaborations or activities. 

• Colluding with competitors to boycott certain customers, suppliers, or other third parties. 

• Abusing a position of market dominance.",1,True,1,0.8176162242889404
Anti-competitive agreements with other companies.,"• Abusing a position of market dominance. 

• Agreeing with another company not to hire or solicit each other’s employees or to restrict the terms of employee compensation.",1,True,1,0.8104519844055176
Escalating anticompetitive discussions with customers.,"If a competitor, customer, or third-party attempts to engage an employee in an anticompetitive discussion, that employee must stop the discussion and promptly escalate the matter according to the Anticompetitive Behavior Policy.",1,True,1,0.8269619941711426
Compliance with financial crimes and sanctions regulations,"> 14 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

# Global compliance 

Wells Fargo is committed to combating financial crimes and complying with applicable financial crimes, sanctions,",0,False,Not in top k,0.8031520843505859
Compliance with international trade and tax laws.,"sanctions, trade, and tax laws and regulations.",1,True,1,0.8321883678436279
Wells Fargo money laundering responsibilities globally.,"sanctions, trade, and tax laws and regulations. 

Financial crimes and money laundering 

As a global financial institution, Wells Fargo has important responsibilities to help combat money laundering and other financial crimes including tax evasion, terrorist financing, identity theft, bribery, corruption, sanctions evasion, and fraud.",1,True,1,0.8428077697753906
Compliance with global anti-money laundering regulations.,"We are committed to complying with all applicable global laws and regulations related to anti-money laundering, sanctions, countering the financing of terrorism, bribery, and corruption, and following applicable tax rules.",1,True,1,0.8184864521026611
Financial crimes due diligence requirements for employees.,"Employees must: 

• Complete all financial crimes-related due diligence and know your customer requirements. 

• Be alert to—and report—any unusual activity according to applicable procedures.",1,True,1,0.8725273609161377
tax evasion reporting procedures,"• Be alert to—and report—any unusual activity according to applicable procedures. 

• Avoid knowingly assisting in any form of tax evasion, including providing advice on how to avoid tax obligations. 

Sanctions, embargos,",1,True,1,0.8973429203033447
Countries we are prohibited from doing business with,"Sanctions, embargos, and antiboycott 

Wells Fargo is committed to following applicable sanctions, trade and tax laws, and regulations that prohibit the company from doing business with certain countries, groups, or individuals,",1,True,1,0.8611950874328613
prohibited business countries and groups associated with terrorism,"and regulations that prohibit the company from doing business with certain countries, groups, or individuals, including those associated with terrorism, narcotics trafficking, or nuclear weapons proliferation.",1,True,1,0.838416337966919
Compliance with sanctions and antiboycott laws globally.,"groups, or individuals, including those associated with terrorism, narcotics trafficking, or nuclear weapons proliferation. We do this by establishing and maintaining policies and procedures that are reasonably designed to comply with sanctions, antiboycott laws, and regulatory guidance in jurisdictions in which we operate.",1,True,1,0.8225631713867188
International boycott cooperation policy antiboycott laws,The company does not cooperate with unsanctioned international boycott requests or actions taken to evade antiboycott laws.,1,True,1,0.8147614002227783
Protecting Wells Fargo assets and information,"> 15 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

# Protecting Wells Fargo assets 

Employees are responsible for protecting and appropriately using information, property,",0,False,Not in top k,0.8381693363189697
Protecting company reputation and mitigating potential risks.,"property, and other Wells Fargo assets under their control. This includes protecting the company’s reputation by identifying and mitigating potential risks.",0,False,Not in top k,0.9006087779998779
Protecting company assets from theft and misuse.,"This includes protecting the company’s reputation by identifying and mitigating potential risks. 

Employee responsibilities include: 

• Protecting company assets under their control from theft, waste, misuse, loss, and damage.",1,True,1,0.8381369113922119
securing company devices while working remotely,"• Keeping company-owned laptops, mobile devices, and digital storage media safe and secure whether in the office, working remotely, or traveling.",1,True,1,0.8812379837036133
Wells Fargo asset use for business purposes,"• Using Wells Fargo assets and the company name, logo, and trademarks only for legitimate Wells Fargo business purposes.",1,True,1,0.9189515113830566
personal use of company devices policy,"Limited personal use of company-owned phones, computers, electronics, and company networks is allowed, but good judgment must be used to ensure that personal use does not interfere with the work environment or in any way violate our policies or security requirements.",1,True,1,0.8206734657287598
Corporate card usage for business expenses only,"• Using their corporate card in a responsible manner and only for business-related expenses. 

Employees are not permitted to: 

• Allow unauthorized persons to use Wells Fargo equipment or access Wells Fargo facilities.",1,True,1,0.8713972568511963
Information security responsibilities at Wells Fargo.,"• Sell, lend, or donate company assets without the appropriate approval. 

Information security and electronic communications 

Wells Fargo employees and the Board have responsibilities to keep Wells Fargo information safe and secure.",1,True,1,0.8369407653808594
Protecting employee credentials and personal identification numbers.,"This includes information about Wells Fargo, consumers, customers, employees, our third parties, and legal or regulatory matters. 

Employee responsibilities include: 

• Safeguard and protect credentials including user identification numbers, passwords, and personal identification numbers.",1,True,1,0.8371443748474121
Protecting customer personal data confidentiality,"• Secure and maintain the confidentiality of Wells Fargo information and use only for legitimate business purposes. Did you know? 

• Protect Personally Identifiable Information and The concept of Confidential Supervisory 

personal data of consumers, customers,",1,True,1,0.8246562480926514
Information Security Incident Reporting Requirements,"customers, and Information (CSI) is broad and includes both 

employees from inappropriate use, access, disclosure, written and oral supervisory correspondence 

or destruction.",0,False,Not in top k,0.8223984241485596
Protecting confidential Wells Fargo communications from unauthorized access.,"access, disclosure, written and oral supervisory correspondence 

or destruction. and other communications between Wells 

• Stay alert and guard against scams and phishing Fargo and a primary federal banking regulator. 

attempts.",0,False,Not in top k,0.8819167613983154
Protecting confidential supervisory information owned by regulators.,"attempts. CSI is the property of federal banking regulators, 

• Protect confidential supervisory information (CSI). even if the CSI is in the possession of Wells 

• Preserve the confidentiality of Wells Fargo attorney- Fargo.",1,True,1,0.8328309059143066
Reporting compromised client data to Compromised Data team.,"client privileged or work product protected information. 

• Identify and report possible compromised data incidents to Compromised Data.",1,True,1,0.8785402774810791
Protecting company intellectual property guidelines,"• Identify and report possible compromised data incidents to Compromised Data. 

> 16 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

Intellectual property 

Employees must protect and use appropriately intellectual property,",1,True,1,0.8691716194152832
Wells Fargo intellectual property disclosure requirements,"including patents, copyright, trademarks, and trade secrets. All intellectual property that is developed while working for Wells Fargo must be disclosed to Wells Fargo and it cannot be used externally or published without written permission.",1,True,1,0.85079026222229
Using proprietary information from previous employer.,"Employee responsibilities include: 

Did you know? • Not using proprietary information acquired while working at another company, and not pressuring Employee social media guidelines include: 

other employees to do so.",1,True,1,0.8269627094268799
Wells Fargo proprietary information confidentiality after leaving.,"• Avoid posting anything obscene, threatening, 

• Not disclosing or using Wells Fargo proprietary harassing, discriminatory, abusive, or disparaging 

information after leaving the company. to customers or employees.",1,True,1,0.8628158569335938
What information is considered confidential at Wells Fargo?,"to customers or employees. 

• Not sharing internal use, confidential, or restricted information. 

• Maintain the confidentiality of Wells Fargo trade secrets and confidential information.",1,True,1,0.8813340663909912
accounting standards for employees at Wells Fargo,"• Maintain the confidentiality of Wells Fargo trade secrets and confidential information. 

Accurate records and disclosures 

Wells Fargo and its employees must follow applicable accounting standards, policies, procedures, internal controls, and legal requirements.",1,True,1,0.820366382598877
Maintaining accurate data in employee responsibilities.,"The company is committed to accurate, timely, and clear disclosures to regulatory authorities, customers, shareholders, and the public. 

Employee responsibilities include: 

• Never falsifying data or information. 

• Maintaining accurate data or information.",1,True,1,0.8399698734283447
Recording payments to third parties accurately.,"• Maintaining accurate data or information. 

• Accurately recording all payments to, and business transactions with, or conducted by third parties. 

• Timely reporting of an error in any of our books or records.",1,True,1,0.8668882846832275
Reporting errors in company books or records.,"• Timely reporting of an error in any of our books or records. 

• Obtaining proper authorization or consent for, and never falsifying or improperly altering, legal documents, company forms, applications, or agreements.",1,True,1,0.889458417892456
Signing blank or incomplete documents by customers or vendors,"• Never signing a blank or incomplete document or asking a customer or vendor to do so. 

• Following records retention guidelines and complying with legal hold notices as appropriate.",1,True,1,1.0552024841308594
compliance with legal hold notices and expense approval policies,"• Following records retention guidelines and complying with legal hold notices as appropriate. 

• Processing all expenses accurately, timely, and through required channels; reviewing expenses for adherence to policies; and ensuring approvals are provided by someone with the proper authority.",1,True,1,0.8267881870269775
Reporting government agency requests to Regulatory Relations.,"• Notifying Regulatory Relations as appropriate of any government or regulatory agency requests. 

> 17 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing TOC  Decision making  Speak",1,True,1,0.816542387008667
Wells Fargo workplace anti-harassment policies,"Decision making  Speak Up Introduction  Do what is right  Closing TOC  Decision making  Speak Up Introduction  Do what is right  Closing  Resources

# Our workplace 

# Anti-harassment and anti-discrimination 

Wells Fargo",0,False,Not in top k,0.8626518249511719
Workplace harassment and discrimination policies Wells Fargo,"Resources

# Our workplace 

# Anti-harassment and anti-discrimination 

Wells Fargo is dedicated to providing a workplace free from harassment and discrimination based on an individual’s race, ethnicity, age, gender, or other protected characteristics.",1,True,1,0.8211779594421387
Prohibited behaviors on company property and communication systems.,"discrimination based on an individual’s race, ethnicity, age, gender, or other protected characteristics. This includes, but is not limited to, on company property or company communication systems, during remote work or business travel, at company-sponsored events, or otherwise in connection with company business.",1,True,1,0.8320984840393066
Wells Fargo policy on workplace harassment and discrimination.,"Any such harassment or discrimination is against Wells Fargo policy, may violate the law, and will not be tolerated.",1,True,1,0.8257279396057129
Reporting harassment or discrimination in the workplace,"In the event of harassment or discrimination, employees are required to promptly report it using a reporting channel described in the Resources to report potential misconduct section.",1,True,1,0.8499035835266113
Career advancement opportunities at Wells Fargo.,"Hiring and advancement opportunities 

At Wells Fargo, we strive to provide advancement opportunities for our employees.",1,True,1,0.8080909252166748
Affirmative Action and Equal Employment Opportunity policies.,"We recruit, hire, and promote employees based on their individual ability and experience and in accordance with Affirmative Action and Equal Employment Opportunity laws and regulations. Wells Fargo is committed to providing all applicants and employees, regardless of race, gender,",0,False,Not in top k,0.8883614540100098
Equal employment opportunity for all applicants and employees,"Wells Fargo is committed to providing all applicants and employees, regardless of race, gender, culture, sexual orientation, religion, veteran status, ability, and other dimensions of diversity, with equal consideration for hire, promotion, transfer, wage increases,",0,False,Not in top k,0.8866817951202393
Workplace safety policies and procedures.,"and other dimensions of diversity, with equal consideration for hire, promotion, transfer, wage increases, and training. 

# Workplace safety 

Wells Fargo is dedicated to maintaining a safe work environment.",0,False,Not in top k,0.8319780826568604
Workplace safety policy on substance use.,"# Workplace safety 

Wells Fargo is dedicated to maintaining a safe work environment. 

All employees are required to perform their job duties unimpaired by illegal drugs, alcohol, or by the improper use of legal substances.",1,True,1,0.8127660751342773
violence in the workplace policy,"Under no circumstances will the company tolerate physical violence or threats. To support a violence-free workplace our employees are not permitted to carry, either openly or in a concealed manner,",1,True,1,0.8559017181396484
Company employees allowed to carry firearms on premises.,"either openly or in a concealed manner, any weapon (such as a knife or firearm) while on company premises or at company-sponsored events unless they are company-authorized security personnel.",1,True,1,0.8293743133544922
Reporting workplace violence safety concerns,Any perceived threats of workplace violence and safety concerns should be reported immediately through the appropriate channel described in the Reporting safety concerns section.,1,True,1,0.8244249820709229
Wells Fargo human rights commitment statement,"# Valuing human rights 

At Wells Fargo, we recognize the responsibility — and opportunity — we have to make a positive impact on society. Wells Fargo is committed to respecting human rights throughout our operations, products, and services.",1,True,1,0.8816416263580322
Respecting human rights in business operations.,"Wells Fargo is committed to respecting human rights throughout our operations, products, and services. 

We encourage our employees to: 

• Respect the rights and dignity of everyone with whom we do business.",0,False,Not in top k,0.8325231075286865
preventing human rights abuses in the workplace,"Respect for human dignity begins with our daily interactions with one another and with our customers. It includes promoting diversity and accommodating disabilities. 

• Support efforts to help prevent human rights abuses including modern slavery and human trafficking.",0,False,Not in top k,0.8859446048736572
Reporting human rights abuses in operations or with customers,"• Support efforts to help prevent human rights abuses including modern slavery and human trafficking. 

• Report any suspicion or instance of human rights abuses in our operations or related to any specific customer, investment activity, or the operations of our suppliers. 

>",1,True,1,0.9030749797821045
What is Wells Fargo's commitment to employee conduct?,"> 18 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

# In closing 

Wells Fargo is committed to maintaining an environment where employees are encouraged and supported in doing the",0,False,Not in top k,0.8212149143218994
what is wells fargo's commitment to ethics,"closing 

Wells Fargo is committed to maintaining an environment where employees are encouraged and supported in doing the right thing in the right way.",0,False,Not in top k,0.9175875186920166
What does integrity mean in the Wells Fargo code of conduct.,"maintaining an environment where employees are encouraged and supported in doing the right thing in the right way. 

We value the trust of our employees, customers, and stakeholders and recognize it’s something we must earn – every day – by holding ourselves and one another accountable for acting with the utmost integrity in all our interactions.",0,False,Not in top k,0.8613638877868652
Waivers to Code for executive officers disclosure requirements.,"# Waivers and exceptions 

Any waivers or exceptions to the Code for executive officers or the Board may only be made by the Board or designated Board committee and will be promptly disclosed to our shareholders in accordance with legal and regulatory requirements.",1,True,1,0.8214373588562012
What are consequences for violating employee code of conduct?,"# Violations 

Any violation of the provisions of the Code or the referenced policies and guidelines is grounds for corrective action, which may include termination of employment.",1,True,1,0.8147916793823242
What are consequences of violating employee code of conduct?,"Certain violations may also result in legal proceedings, including prosecution for criminal violations, impacts to the employee’s licensing, and financial industry employment eligibility.",1,True,1,0.8232998847961426
